response_id,grade,notes
N/A,LOW,100% of original chunk dropped after cleaning.
N/A,LOW,100% of original chunk dropped after cleaning.
N/A,LOW,86% of original chunk dropped after cleaning.
N/A,LOW,94% of original chunk dropped after cleaning.
BuriedWins_LeilaVaezIravani_3_1,OK,
BuriedWins_LeilaVaezIravani_3_2,OK,
N/A,OK,
N/A,LOW,87% of original chunk dropped after cleaning.
BuriedWins_LeilaVaezIravani_8_1,LOW,82% of original chunk dropped after cleaning.
N/A,LOW,88% of original chunk dropped after cleaning.
N/A,LOW,85% of original chunk dropped after cleaning.
BuriedWins_LeilaVaezIravani_2_1,OK,
BuriedWins_LeilaVaezIravani_2_2,LOW,81% of original chunk dropped after cleaning.
